,target,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0,<=50K,39,State-gov,77516,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States
1,<=50K,50,Self-emp-not-inc,83311,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States
2,<=50K,38,Private,215646,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
3,<=50K,53,Private,234721,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States
4,<=50K,28,Private,338409,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba
5,<=50K,37,Private,284582,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States
6,<=50K,49,Private,160187,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica
7,>50K,52,Self-emp-not-inc,209642,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
8,>50K,31,Private,45781,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States
9,>50K,42,Private,159449,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States
10,>50K,37,Private,280464,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States
11,>50K,30,State-gov,141297,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India
12,<=50K,23,Private,122272,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States
13,<=50K,32,Private,205019,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States
14,>50K,40,Private,121772,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,
15,<=50K,34,Private,245487,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico
16,<=50K,25,Self-emp-not-inc,176756,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States
17,<=50K,32,Private,186824,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States
18,<=50K,38,Private,28887,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
19,>50K,43,Self-emp-not-inc,292175,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States
20,>50K,40,Private,193524,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
21,<=50K,54,Private,302146,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States
22,<=50K,35,Federal-gov,76845,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States
23,<=50K,43,Private,117037,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States
24,<=50K,59,Private,109015,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States
25,>50K,56,Local-gov,216851,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
26,<=50K,19,Private,168294,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
27,>50K,54,,180211,10,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,0,0,60,South
28,<=50K,39,Private,367260,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States
29,<=50K,49,Private,193366,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
30,<=50K,23,Local-gov,190709,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States
31,<=50K,20,Private,266015,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States
32,<=50K,45,Private,386940,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States
33,<=50K,30,Federal-gov,59951,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States
34,<=50K,22,State-gov,311512,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States
35,<=50K,48,Private,242406,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico
36,<=50K,21,Private,197200,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States
37,<=50K,19,Private,544091,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States
38,>50K,31,Private,84154,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,
39,<=50K,48,Self-emp-not-inc,265477,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
40,<=50K,31,Private,507875,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States
41,<=50K,53,Self-emp-not-inc,88506,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
42,<=50K,24,Private,172987,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States
43,<=50K,49,Private,94638,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
44,<=50K,25,Private,289980,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States
45,>50K,57,Federal-gov,337895,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States
46,<=50K,53,Private,144361,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States
47,<=50K,44,Private,128354,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States
48,<=50K,41,State-gov,101603,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
49,<=50K,29,Private,271466,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States
50,<=50K,25,Private,32275,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States
51,<=50K,18,Private,226956,9,Never-married,Other-service,Own-child,White,Female,0,0,30,
52,>50K,47,Private,51835,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras
53,>50K,50,Federal-gov,251585,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States
54,<=50K,47,Self-emp-inc,109832,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States
55,>50K,43,Private,237993,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
